AOD,AE,RSDN,Temp,Dew,RH,MaxWS,PBLH,Visibility,DOY,PM10
0.14059,0.62264,324.33,19.714,8.6281,48.581,7.4746,985.86,28417,0.47754,17
0.33966,0.37264,224.76,13.854,6.528,63.18,10.833,808.4,26164,-0.25535,15
0.28454,0.46166,209.32,12.899,5.9095,63.415,11.45,712.14,26700,-0.25535,14
0.061234,0.41925,248.11,16.101,8.9812,64.862,9.2194,773.13,25618,-0.46355,16
0.15331,0.39551,323,25.393,2.7419,23.687,8.9004,2194.1,29580,0.17129,25
0.4307,0.25312,247.83,9.27,-8.9658,28.768,7.7245,1618.6,29343,-0.36876,24
0.16411,0.59963,242.58,12.223,5.0539,62.442,11.815,980.63,26984,-0.25535,17
0.27616,0.60155,328.74,20.806,11.281,55.195,7.5809,1129.7,27790,0.47754,29
0.10281,0.61855,323.81,16.374,8.4934,63.74,8.8699,685.34,25735,0.50742,23
0.28411,0.45832,207.77,13.166,5.9641,62.666,11.399,721.87,26747,-0.25535,5
0.12862,1.0595,279.8,21.227,5.9204,42.598,9.8297,1421,28096,0.11988,23
0.31861,0.70935,335.95,21.126,14.268,65.259,7.6313,438.07,26674,0.56534,1
0.30613,0.3103,217.76,13.244,6.1533,63.46,11.641,710.96,26479,-0.25535,8
0.093975,0.51507,330.21,17.949,8.1493,55.105,10.527,1500.8,27330,0.50742,28
0.15824,0.34896,271.49,9.6534,-0.58853,49.101,7.7454,815.81,28367,-0.36972,29
0.0040072,0.63153,229.48,-2.7482,-25.406,16.949,14.63,2155.2,29842,-0.59473,15
0.11987,0.6293,329.81,22.511,6.6937,37.014,8.7812,1128,28998,0.47754,23
0.20778,0.23221,223.45,6.6775,-10.296,29.391,5.6552,898.28,29363,-0.53801,27
0.11719,0.38115,300.22,14.989,5.8141,54.384,9.931,842.61,27966,0,27
0.45526,0.63405,337.45,25.653,6.4666,33.26,7.302,1538.8,29036,0.56534,25
0.40741,0.83416,228.95,16.767,8.3665,58.103,14.625,1290.7,27601,-0.23867,24
0.27513,0.2429,333.81,22.269,5.562,34.825,9.575,1615.8,29106,0.49378,27
0.24419,0.26865,331.85,24.486,7.0094,34.331,7.0621,1830,29097,0.56534,26
0.038258,0.63053,221.58,-3.5911,-18.309,33.269,20.03,1498.7,29251,-0.67444,24
0.12686,0.43296,301.7,23.654,8.5008,39.519,6.414,1441,28830,0.59473,27
0.16369,0.40497,229.56,11.34,4.8295,65.05,11.381,855.78,26626,-0.25535,19
0.10321,0.62653,328.22,23.386,7.1251,43.697,6.9991,892.26,27154,0.64863,26
0.61204,0.61168,335.03,25.66,8.6083,35.924,5.7724,1644.1,28993,0.56534,26
0.11431,0.59659,290.34,14.062,-0.077229,44.821,6.1621,1490.8,27288,-0.18772,29
0.49173,0.44364,215.67,10.162,-4.6064,38.577,7.1262,925.34,28754,-0.52342,28
0.062338,0.63176,259.18,21.363,9.9502,52.123,8.9898,908.74,27169,0.11988,23
0.12382,0.30582,332.09,20.838,7.7061,44.717,7.4078,1474.5,28431,0.46238,8
0.034568,0.62924,229,-3.7854,-23.642,21.14,15.831,2012,29710,-0.59473,24
0.32898,0.61485,306.29,21.076,11.646,55.405,9.1557,1198.1,27784,0.49255,24
0.25849,0.24872,203,12.643,5.978,64.908,10.666,789.02,26447,-0.25535,21
0.33907,0.32796,306.17,23.931,11.264,46.077,7.8594,1360.3,28432,0.47754,28
0.14636,0.82456,303.72,21.491,9.7284,51.596,6.7777,1353.1,27272,0.11988,27
0.024588,0.63375,338.09,21.664,6.5271,39.083,7.357,989.02,28848,0.47754,15
0.063481,0.43826,338,26.84,8.6186,35.06,5.348,1894.2,28959,0.5511,25
0.08728,0.63208,339,20.054,1.0238,28.543,7.4389,1037.7,29393,0.47754,19
0.35126,0.47372,319.68,19.957,10.504,55.336,7.234,1117.3,27753,0.47754,18
0.15543,0.39169,336.47,26.046,8.9224,38.904,5.4566,1638,28502,0.5511,26
-0.0028082,0.63002,233.24,16.263,8.1437,60.372,6.7965,884.72,26874,-0.46355,25
0.61121,1.3258,247.06,16.01,3.0832,44.094,7.594,1432.5,28484,-0.1031,26
0.13709,0.83353,307.9,15.534,3.2342,44.095,10.06,1440.4,28654,0.068615,18
0.16565,0.62797,306.05,23.965,14.886,57.829,7.2097,1139.8,27394,0.25535,20
0.089763,0.43736,329.57,20.731,8.2395,46.689,7.6735,1355.1,28266,0.46238,29
0.018165,0.63039,206.21,6.6873,-12.747,25.191,9.8509,2127,29511,-0.5667,27
0.40913,0.30133,313.36,19.991,10.18,57.087,6.0009,644.34,26944,0.47754,27
0.26741,0.40604,214.22,12.746,4.8096,59.271,6.0959,812.76,27398,-0.62061,27
0.12494,0.62803,226.53,-1.4237,-14.459,37.848,16.398,1542.1,29004,-0.59473,25
0.1959,0.40189,300.8,13.408,-3.494,33.266,7.1033,1407.7,29123,-0.068615,25
0.14352,0.23889,262.51,15.305,2.8865,44.343,28.72,1098.6,28572,0.034328,21
0.051693,0.6241,344.78,28.32,9.0784,30.946,6.3708,1405,29278,0.64863,27
0.11153,0.63005,333.79,20.509,9.7428,53.615,8.1377,1379,26990,0.44709,28
0.040599,0.61746,341.17,24.216,7.2846,34.631,6.6791,933.65,29122,0.60848,28
0.034685,0.63305,303.1,16.302,3.5135,43.073,25.646,1352.5,28688,0.034328,17
0.25673,0.59907,256.71,15.092,2.3222,43.638,22.832,1691.6,28570,0.034328,27
0.20452,0.58359,343.25,25.736,10.761,41.832,8.5754,1368.1,28538,0.69946,20
0.20911,0.38065,233.72,11.913,5.6648,66.366,10.167,779.83,26366,-0.25535,19
0.1066,0.74363,312.4,23.055,16.172,65.496,8.2007,629.13,26757,0.25535,20
0.28603,0.45642,226,13.474,6.0412,61.878,11.281,744.5,26776,-0.25535,11
0.35836,0.29658,307.43,13.441,-1.9107,35.853,11.983,1842,29027,0.051479,21
0.026179,0.63168,268.65,8.4359,-11.837,23.203,12.43,1648.4,29603,-0.40149,27
0.011238,0.63183,228.94,-1.3584,-18.442,26.53,16.479,1883.5,29503,-0.59473,26
0.41201,0.28597,328.64,19.084,11.498,63.045,8.4288,640.72,26001,0.44709,21
0.62542,0.66624,176.25,17.169,8.6403,57.589,14.993,856.21,27655,-0.23867,20
0.082789,0.45998,343.09,23.689,6.3954,33.604,7.4212,787.07,29173,0.60848,27
0.045008,1.3029,302.58,11.79,6.6257,73.432,8.0065,568.63,23673,0.068615,29
0.010326,0.62953,335.63,17.852,8.3181,56.681,8.9922,1162.7,26753,0.55244,24
0.24578,0.62796,327.27,20.241,10.949,55.388,9.1951,986.03,27876,0.47754,26
0.39974,0.24596,326.23,18.99,11.958,64.84,7.9592,603.54,25615,0.44709,26
1.0792,1.1631,137.29,23.142,16.8,67.309,8.1406,1306.9,26647,0.35275,22
1.0307,0.84311,200.82,11.537,8.1102,79.479,9.2527,208.11,24405,-0.30492,28
0.42225,0.53445,301.97,20.627,9.0804,49.274,10.257,1338.9,28098,0.44709,29
0.418,0.23327,220.77,6.2764,-10.728,29.626,6.7275,832.77,29334,-0.53801,29
0.2575,0.61195,315.08,21.739,7.5685,41.442,7.3281,1242,28723,0.40149,27
0.085244,0.6171,335.62,21.937,9.694,45.82,7.7381,1106.9,28562,0.47754,23
0.27432,0.62872,319.08,21.283,9.5896,48.462,7.699,1387.8,28270,0.40149,29
0.28258,0.36436,332.91,22.1,12.018,54.595,7.7689,1255.4,27497,0.44709,25
0.043553,0.62974,236.3,-2.8779,-23.106,20.538,17.365,2044.9,29724,-0.59473,27
0.027965,0.63018,233.84,-5.2617,-26.316,19.065,15.497,2087.4,29787,-0.59473,23
0.020588,0.63177,290.7,15.618,0.043391,41.936,7.5313,1167.9,27845,-0.17083,26
0.26777,0.25586,318,21.35,7.8105,44.073,6.2637,1191.4,28242,0.40149,28
0.49102,0.41564,330.5,22.356,7.093,42.597,6.2826,1086.9,28144,0.33664,24
0.20885,0.57634,319.83,23.924,13.387,53.562,7.1689,1265,27650,0.25535,18
0.24556,0.35496,223.51,12.594,5.8242,64.423,9.9628,954.18,26564,-0.25535,14
0.12182,1.287,272.39,22.673,9.8401,48.202,7.9942,1299.4,27705,0.11988,25
0.43989,0.88268,319,28.31,8.0665,28.271,6.9485,1623.4,29410,0.66163,22
0.30588,0.31034,223.38,13.361,6.2679,63.58,11.744,699.43,26395,-0.25535,5
1.3969,0.39445,309.44,22.619,5.8914,34.281,6.7125,1071.6,29153,0.33664,24
0.020981,0.6328,310.07,14.217,2.5843,48.387,5.7569,1664.2,28008,0.068615,29
0.01832,0.63242,338.37,26.447,3.969,26.082,7.3237,1155.1,29439,0.64863,28
0.40211,0.5043,329.08,21.669,8.8542,44.708,9.0793,668.62,28266,0.69946,29
0.037223,0.62988,340.81,24.293,7.4985,34.925,6.5443,928.48,29110,0.60848,24
0.38506,0.73325,330.71,26.593,8.1879,35.572,6.2159,1889.9,28857,0.5511,29
0.28574,0.23744,272.25,14.608,2.8775,46.092,25.475,1401.7,28473,0.034328,26
0.097935,0.62889,312.79,15.086,5.9253,59.319,6.4386,821.64,24318,0.085965,27
0.0069741,0.63199,225.54,-1.2672,-18.179,26.943,16.216,1878,29487,-0.59473,22
0.033224,0.6288,329.04,20.35,9.7808,53.624,7.7917,1340.6,27325,0.46238,20
0.28528,0.45723,223.45,13.164,6.0016,62.894,11.192,748.98,26665,-0.25535,17
0.3053,0.45944,217.43,12.51,5.83,64.592,11.448,690.78,26577,-0.25535,10
0.20704,0.23223,225.59,6.6755,-10.96,27.978,5.8148,896.95,29419,-0.53801,18
0.45105,0.50444,241.46,9.3165,-5.1764,37.656,7.8962,1682.8,28905,-0.36876,28
0.21026,0.27338,331.59,22.168,13.044,58.101,9.2377,945.77,27197,0.44709,29
0.1735,0.2481,218.6,1.9458,-12.255,35.17,11.082,1235.6,29115,-0.57942,19
0.013089,0.63793,338.13,26.571,8.7207,35.64,5.3608,1963,28934,0.5511,22
0.017307,0.63165,347.72,26.807,6.1192,29.155,5.7208,1289.6,29314,0.64863,28
0.11095,0.48111,339.08,24.289,7.3766,34.692,6.6605,950.79,29119,0.60848,26
0.061965,0.25245,322.48,13.486,11.031,84.976,8.0256,291,22775,0.49378,24
0.0098959,0.63215,241.37,-0.30885,-20.08,21.911,17.365,1786.2,29663,-0.59473,29
0.27089,0.94459,342.08,25.24,8.64,36.862,6.4391,1794.3,28946,0.56534,27
0.053393,0.63202,306.36,17.405,4.3687,42.809,19.195,1268.1,28695,0.034328,16
0.28493,0.45579,224.54,13.285,6.0084,62.445,11.245,742.96,26724,-0.25535,19
0.29532,0.46384,227.96,13.749,6.3216,62.372,11.27,766.3,26480,-0.25535,17
0.25512,0.27263,308.56,22.194,6.9068,39.806,6.6044,1525.8,28723,0.40149,26
0.69314,0.59018,239.46,14.845,3.9252,48.388,9.211,669.02,28403,-0.051479,27
0.020031,0.63219,340.04,26.304,4.3745,27.121,6.9853,1152.9,29389,0.64863,25
0.32341,0.53111,313.09,20.243,10.636,54.909,6.7825,1162.6,27770,0.47754,21
0.096171,0.62996,287.08,16.481,3.2428,47.383,7.1251,1305,27374,-0.17083,17
0.10484,0.5684,344,24.203,6.4996,32.777,7.5808,985.51,29211,0.60848,24
0.026929,0.6335,346.22,23.57,5.131,31.385,7.4719,1876.5,29216,0.52213,29
1.1139,0.3938,300.27,22.741,3.3173,28.127,6.9133,793.17,29424,0.33664,29
0.42802,0.52661,256.51,15.767,-1.0572,35.431,7.668,903.55,28924,-0.40045,28
0.26845,0.31155,300.12,16.08,5.3194,49.854,8.6215,1007.2,28213,0,28
0.32182,0.52098,212.99,6.1899,-10.267,35.104,6.9979,1256.8,28843,-0.64863,27
0.39578,0.44126,316.18,20.776,9.024,48.891,9.9824,1266.8,28091,0.44709,20
0.79707,1.2779,275.16,23.937,17.06,65.338,9.8525,1272.6,26867,0.35275,17
0.6457,0.54412,232.26,16.082,8.3771,64.381,7.174,1031.5,24427,-0.017166,22
0.21874,0.27965,330.47,21.974,13.432,59.884,9.305,882.02,27050,0.44709,19
0.31172,0.23821,330.28,18.573,10.244,60.809,9.4858,655.38,26582,0.44709,23
0.82511,1.1536,179.46,23.354,16.854,66.725,9.2835,1347,26716,0.35275,13
0.041865,1.2712,242.31,3.0233,-10.764,36.774,9.4123,1526.1,29027,-0.56534,28
0.20118,0.24901,257.84,16.301,6.092,51.465,16.712,1226.9,28126,0.034328,21
0.27266,0.23341,304.52,16.605,5.4289,48.824,7.0609,1020.2,28245,0,25
0.32424,0.46548,229.19,13.726,-0.5254,42.591,7.6458,815.1,28164,-0.40045,28
0.016137,0.63266,340.48,25.967,5.8627,30.182,5.8408,1173,29261,0.64863,29
0.47806,1.3116,166.38,8.8696,3.5902,69.42,4.9207,711.66,26459,-0.60848,16
0.08024,0.40757,248.99,6.6318,-9.3567,35.327,8.5143,1713,28892,-0.5667,22
0.84547,1.3513,153.3,8.6403,-8.8569,29.591,10.767,1066.1,29279,-0.52342,25
0.2969,0.41462,245.72,14.234,5.9386,59.381,5.9078,776.25,26918,-0.46355,28
0.13654,0.32081,342.48,28.472,7.6377,26.947,11.019,1347.8,29469,0.64863,29
0.28338,0.46099,214.42,12.897,5.948,63.651,11.242,739.55,26615,-0.25535,5
0.011093,0.63472,350.45,24.991,7.9988,36.234,6.0682,1064.6,28954,0.64863,27
0.44036,0.63157,339.1,25.685,9.0084,37.419,6.4781,1488.7,28871,0.56534,21
0.11697,0.59558,291.5,13.295,-1.6524,41.043,6.5369,1536.2,28256,-0.18772,24
0.082893,0.56142,310.75,16.75,5.6383,54.521,5.7445,859.72,24635,0.085965,22
0.24569,0.23258,304,16.49,4.1832,47.198,7.0342,864.25,28038,0,28
0.14382,0.66022,248.43,15.148,7.3566,61.206,5.8213,896.8,26836,-0.46355,19
0.27437,0.95651,321.65,21.013,10.702,51.618,7.4567,1175.9,28210,0.47754,28
0.08103,0.59593,310.09,15.847,2.6514,41.766,7.8814,1491.9,28772,0.068615,21
0.99614,0.40315,247.78,16.604,1.3453,37.011,11.061,745.35,28979,-0.051479,18
0.040356,0.62965,241.54,-1.0951,-16.883,29.773,17.254,1605.6,29378,-0.59473,27
0.16644,0.24596,207.74,12.286,4.0932,60.531,6.7204,893.56,25897,-0.46355,25
0.014743,0.63182,337.64,26.773,7.7103,34.298,5.8599,1961,28935,0.5511,22
0.44758,0.2819,327.73,17.987,11.908,69.363,7.8183,457.35,24402,0.44709,28
0.083797,0.57018,326.95,18.174,7.905,53.686,10.497,1599.4,27468,0.50742,26
0.34581,0.25841,316.08,20.617,4.0276,35.445,6.5211,1571.6,29025,0.2051,28
0.042994,0.62896,339.26,24.337,7.6386,35.131,6.4581,921.36,29102,0.60848,25
0.0072562,1.6208,233.43,1.6121,-9.865,42.601,9.1905,1222.8,28767,-0.56534,28
0.015194,0.63227,298.06,17.236,5.4615,46.363,18.288,1382.1,28504,0.034328,26
0.28928,0.55314,335.38,25.104,2.9037,26.355,7.2584,2109.7,29428,0.56534,25
0.06612,0.42108,337.63,26.824,8.3039,34.75,5.3964,1873.5,28959,0.5511,22
0.86493,0.91044,189.63,20.513,16.207,77.426,8.7504,659.3,20750,0.35275,11
0.034029,0.61779,341.23,24.204,7.2255,34.504,6.7409,935.21,29128,0.60848,25
0.092842,0.62902,340.47,23.45,9.8682,42.321,6.0845,761.26,28763,0.60848,29
0.1935,0.56505,331.32,21.815,12.5,57.682,8.2478,1194.5,26871,0.44709,22
0.013115,0.63353,350.17,16.57,3.3543,41.536,10.672,1061.5,28764,0.55244,19
0.099004,0.60886,344.55,25.721,10.877,42.217,8.5674,1354,28502,0.69946,29
0.42539,0.59069,334.83,25.889,6.5097,32.246,6.5321,1703.2,29125,0.56534,27
0.010326,0.62953,338.15,17.91,8.2378,56.289,8.813,1200,26796,0.55244,24
0.26243,0.39896,215.76,11.702,5.4678,66.206,11.482,683.87,26480,-0.25535,8
0.28121,0.23618,334.44,20.252,10.06,54.564,8.2256,961.44,27409,0.47754,15
0.34816,0.54103,317.98,21.274,9.569,48.657,9.9629,1282.2,28208,0.44709,29
0.23476,0.29372,340.23,17.231,6.1501,52.951,8.7859,281.1,27243,0.49378,23
0.061201,0.63327,317.93,22.616,15.004,63.169,8.9291,633.18,26841,0.25535,26
0.15362,0.25153,326.46,18.051,8.0772,54.486,10.323,1503,27455,0.50742,28
0.097704,1.6308,243.71,14.895,6.5326,59.01,7.2222,834.34,27098,-0.46355,23
0.41528,0.5533,273.68,12.742,5.4281,61.638,12.118,868.5,27167,-0.1031,27
0.54415,0.26746,305.87,21.863,4.2339,31.944,5.1854,1474.2,29259,0.2051,29
0.34576,0.42394,329.67,24.206,8.3563,37.032,8.1811,982.41,29010,0.59333,29
0.68291,0.49008,254.53,15.9,-3.2129,28.913,5.9862,1025.1,29337,-0.25467,28
0.28695,0.24124,289.52,23.565,9.4834,42.26,6.3833,1265.9,28672,0.59473,25
0.016276,0.63265,339.51,25.977,6.0714,30.379,5.8243,1175.5,29259,0.64863,17
0.07678,0.98972,296.59,17.561,4.3798,49.184,6.6897,1276.1,26012,0.085965,20
0.039483,0.63123,330.93,22.536,7.0348,38.657,7.5058,1005.1,28848,0.47754,26
0.40205,0.26558,247.52,9.2632,-8.9436,28.722,7.6992,1629,29347,-0.36876,29
0.29532,0.46384,226.56,13.737,6.2868,62.223,11.214,770.09,26525,-0.25535,3
0.43852,0.53871,307.63,21.184,5.9621,40.261,5.4575,1063.1,28653,0.50867,26
0.41866,0.46626,344.2,26.006,13.054,47.497,7.3855,1450.9,28057,0.69946,24
0.093096,0.64945,309.27,16.354,3.7384,49.833,6.7208,1315.2,26286,0.085965,27
0.26627,0.58822,319.76,22.337,10.689,51.679,8.9107,1380.2,27060,0.25535,25
0.12931,0.40095,250.04,14.394,6.8434,63.014,5.9846,798.88,25911,-0.46355,17
0.2879,0.45822,211.64,12.925,5.9825,63.748,11.101,758.86,26558,-0.25535,14
0.065793,0.62635,226.25,3.1066,-14.409,27.26,13.876,1202.1,29445,-0.57942,26
0.59872,0.71544,174.58,16.975,8.6125,58.292,14.94,790.21,27583,-0.23867,25
0.17148,0.24243,227.99,2.6687,-10.069,39.58,8.8903,1322,28901,-0.59333,20
0.7704,0.72543,191.66,13.561,9.9923,80.001,9.3845,437.69,20923,-0.25535,3
0.034803,0.62434,239,0.75393,-12.603,37.945,7.9871,1470.8,28982,-0.56534,23
0.29181,0.23866,329.96,22.208,8.9326,45.086,6.8187,932.07,28293,0.47754,26
0.12382,0.30582,333.87,20.85,7.9074,45.421,7.404,1447.7,28340,0.46238,26
0.17013,0.24861,336,16.759,8.1239,59.279,10.523,674.6,26823,0.46238,26
0.022482,0.63259,330.1,22.568,7.254,39.11,7.4026,1003.9,28824,0.47754,24
0.17185,0.39322,330.99,18.525,7.5195,51.867,11.202,2058.3,27512,0.50742,27
0.063895,1.3501,343.9,24.011,6.9134,34.127,7.003,908.16,29148,0.60848,25
0.8292,1.1566,199.84,11.85,2.1034,52.572,5.1947,1392.8,27955,-0.12021,24
0.76171,0.58374,279.67,18.651,7.5419,52.417,7.0172,680.35,27317,0.36972,16
0.11586,0.40462,224.14,1.7466,-14.972,28.673,16.26,1619.8,29408,-0.67444,28
0.033066,1.3156,319.72,20.648,8.8769,49.389,7.7369,1351,27912,0.46238,26
0.4715,0.33476,303.47,22.89,14.687,60.078,7.5884,595.4,27414,0.25535,29
0.30473,0.38316,227.82,1.4598,-13.619,33.913,10.05,1524.3,29136,-0.57942,26
0.094751,0.6301,291.74,16.193,5.1692,53.758,7.1308,1114.4,26995,-0.17083,27
0.066569,0.63453,273.91,16.45,5.5401,53.454,6.2252,1219.9,26389,-0.17083,28
0.037216,0.62964,339.54,24.326,7.6334,35.137,6.4477,916.81,29102,0.60848,27
0.084518,0.4219,322.07,19.324,9.3266,55.063,7.6561,1102.2,27260,0.46238,26
0.20606,0.41614,340.71,26.774,9.5463,38.035,5.8747,1845,28684,0.5511,28
0.38038,0.55182,192.39,10.441,6.8109,79.309,14.329,470.29,23289,-0.23867,27
0.22345,0.4647,334.67,21.967,12.256,57.49,7.8946,1201.4,26335,0.44709,16
0.084133,0.59363,337.14,26.847,9.1663,35.547,5.4023,1968.7,28968,0.5511,23
0.28506,0.45564,226.24,13.407,6.0153,61.997,11.297,736.93,26784,-0.25535,25
0.061221,1.625,224.28,7.4719,-3.4223,48.853,8.491,1017.1,27911,-0.59333,25
0.18603,0.25619,276.48,8.9346,-0.59096,52.686,6.5628,937.92,27934,-0.36972,24
0.20712,0.27756,315.65,23.627,11.118,46.931,7.162,1305.9,28316,0.47754,27
0.70288,0.60247,172.89,17.253,8.6349,57.236,14.999,916.74,27693,-0.23867,24
0.10475,0.59285,298.66,13.952,4.2785,53.812,6.0626,1228.2,27728,0.068615,25
-0.0019611,1.0581,348.37,22.136,6.5204,37.806,5.5027,872.25,28934,0.52213,28
0.053755,0.63154,340.94,18.644,9.2091,54.151,7.6914,863.26,28020,0.47754,18
0.031447,0.63602,313.44,17.55,3.1248,38.976,8.0973,1560.6,28898,0.068615,25
0.087175,0.40706,338.7,18.388,9.4844,59.26,7.6335,934.52,26636,0.46238,21
0.72079,0.94478,250.21,24.115,16.915,64.116,9.5787,1218.4,26991,0.35275,7
0.23812,0.47577,213.66,6.5133,-6.0943,44.4,5.9267,903.77,28190,-0.63543,25
0.043389,0.62577,245.57,2.0704,-13.499,31.868,8.9271,1383,29262,-0.56534,24
0.051832,0.6306,342.42,24.314,8.7643,37.948,6.2432,872.89,28959,0.60848,27
0.48433,0.24251,256.79,13.627,-5.2507,26.821,8.6814,1489.1,29471,-0.30492,28
0.5608,0.8161,336.01,23.563,11.31,48.67,8.8811,1411.4,28022,0.56534,25
0.56781,0.46718,329.58,26.787,7.801,32.978,5.8403,1792.1,29100,0.56534,27
0.46822,0.36517,278.07,23.276,10.893,46.034,11.885,1247.1,28534,0.28772,23
0.096309,0.61361,224,6.6588,-11.135,27.654,5.9755,899.66,29432,-0.53801,10
0.13868,0.39358,322.11,23.08,8.2933,40.496,6.884,1016.3,28754,0.47754,28
0.18884,0.50073,308.42,18.856,3.3324,43.277,9.8707,2154.7,27496,0.50742,29
0.1099,1.5316,239.82,14.448,6.959,63.058,5.9839,771.5,25927,-0.46355,25
0.0075018,0.63271,345.79,19.043,7.7352,54.66,8.5349,333.01,26589,0.60848,24
0.24019,0.29668,222.77,11.626,5.455,66.471,11.294,688.46,26442,-0.25535,6
0.027331,0.62908,341.71,23.712,7.5004,36.163,6.6484,798.87,29052,0.60848,29
0.092463,0.39367,335.44,20.801,7.9765,45.581,7.7066,1370.4,28377,0.46238,29
0.28568,0.4832,334,26.379,7.1525,31.754,5.2221,1662.5,29194,0.56534,20
0.53751,0.28381,320.27,22.604,6.9571,40.016,8.2235,1175.4,28609,0.33664,18
0.094359,0.63669,335.05,18.059,10.487,61.12,11.579,672.24,27425,0.47754,27
0.03112,0.63056,228.55,-2.73,-20.417,25.056,16.021,2038.7,29565,-0.59473,23
0.21983,0.45868,323.01,19.867,10.656,55.498,10.057,882.06,27880,0.47754,21
0.096422,0.5747,344,24.151,6.2539,32.346,7.8557,952.21,29230,0.60848,27
0.22364,0.63943,326.83,18.732,4.4483,45.008,11.458,1895.5,27722,0.50742,23
0.07225,0.63108,315.56,14.629,-1.9297,32.335,7.5408,795.47,29226,0.15389,29
0.41736,0.24949,209,11.498,3.0386,57.562,6.6365,852.76,27408,-0.67295,26
0.10891,0.62802,300.23,20.59,11.488,59.681,7.9373,857.6,26413,0.11988,26
0.13642,0.46474,249.19,13.175,5.4279,62.304,6.8006,746.98,25637,-0.46355,16
0.13793,1.0114,349.76,25.707,10.976,43.041,7.1619,1458.4,28388,0.69946,24
0.36338,0.23744,320.01,21.673,9.6958,48.127,10.037,1265.7,28211,0.44709,22
0.055153,0.63019,271.82,16.192,3.4155,43.256,20.273,1564.6,28661,0.034328,24
0.031384,0.62662,238.2,-0.46612,-13.354,38.712,8.2235,1321.8,28972,-0.56534,15
1.5666,0.51952,287.48,24.108,9.2596,40.568,9.0194,1240.1,28753,0.33664,29
0.034895,0.76091,341.2,24.167,7.2088,34.539,6.7238,922.19,29127,0.60848,22
0.42031,0.35679,253.4,13.988,6.6326,62.469,11.05,1015.7,26711,-0.25535,12
0.17432,0.63053,308.94,20.716,12.804,62.306,8.2531,701.9,26536,0.11988,24
0.13589,0.55472,263.25,9.2996,-9.4572,28.773,6.9571,1312.3,29316,-0.36972,29
0.68376,0.73323,231.56,13.68,2.4793,48.645,7.2583,1312.1,28151,-0.12021,22
0.62127,0.88021,298.83,20.521,11.854,61.797,7.9345,1010.6,25961,0.28772,23
0.22936,0.46059,338.2,19.834,10.484,55.752,7.6883,1084.4,27693,0.47754,28
0.11259,0.62758,322.7,22.838,8.2932,41.079,6.8288,1005.8,28716,0.47754,16
0.27244,0.8233,322.03,22.87,9.1259,43.076,8.1554,868.57,28603,0.59333,29
0.29416,0.46292,226.56,13.682,6.2373,62.16,11.258,760.57,26577,-0.25535,14
0.35647,0.44194,326.75,20.53,9.9704,52.427,9.2169,1014.9,27900,0.44709,26
0.40789,0.46568,214.62,13.85,7.047,65.146,11.529,630.71,25858,-0.25535,10
1.1188,1.1643,137.72,23.123,16.893,67.788,8.1078,1323.3,26579,0.35275,15
0.19513,0.24367,241.78,5.0852,-11.129,31.822,11.698,2077.5,29232,-0.5808,24
0.18614,0.62773,322.22,24.708,12.233,48.209,9.8054,1176.9,28047,0.25535,27
0.41102,0.4009,327.65,25.904,9.2274,37.114,5.9906,1518.5,28911,0.56534,28
0.098475,0.59092,232.01,6.6406,-9.4781,31.209,5.7328,902.92,29292,-0.53801,28
